entry_time,exit_time,side,entry_price,exit_price,pnl_usd,pnl_jpy,balance,duration_min,exit_reason,k4h_at_entry,k1h_at_entry,k5m_at_entry
2023-03-14 17:10:00,2023-03-14 18:10:00,short,1907.5400000000002,1904.2,32.4,4860.0,211585.0,60.0,5M_GC,74.05514250292599,63.56955776827646,15.746585847013813
2023-03-15 00:20:00,2023-03-15 02:15:00,short,1904.39,1901.55,27.4,4110.0,215695.0,115.0,5M_GC,64.45265713774972,34.637693194171916,15.206159910458183
2023-03-15 03:25:00,2023-03-15 05:25:00,short,1903.3300000000002,1903.82,-5.9,-885.0,214810.0,120.0,5M_GC,45.459735775807964,37.07802619600858,17.894736841160363
2023-03-16 00:00:00,2023-03-16 03:05:00,short,1918.89,1910.78,80.1,12015.0,226825.0,185.0,5M_GC,62.30873523133405,23.708217845036263,9.568303474345614
2023-03-20 14:30:00,2023-03-20 14:55:00,short,1984.95,1974.54,103.1,15465.0,242290.0,25.0,5M_GC,77.61974055999644,21.39457603192291,8.334777814338196
2023-03-21 08:05:00,2023-03-21 08:45:00,short,1981.99,1972.68,92.1,13815.0,256105.0,40.0,5M_GC,33.83494311761829,48.264669163064376,10.170489270457193
2023-03-23 03:25:00,2023-03-23 04:20:00,long,1969.6999999999998,1972.52,27.2,4080.0,260185.0,55.0,5M_DC,83.22221431753952,81.10880931217976,96.5561741900608
2023-03-28 16:20:00,2023-03-28 18:05:00,long,1961.53,1968.8,71.7,10755.0,270940.0,105.0,5M_DC,54.48143879351813,85.6168187954227,89.16300400716348
2023-03-29 16:55:00,2023-03-29 18:25:00,short,1965.5600000000002,1966.6,-11.4,-1710.0,269230.0,90.0,5M_GC,59.785932721483924,56.88016100446743,20.297239914814806
2023-03-29 19:50:00,2023-03-29 22:05:00,short,1964.76,1965.97,-13.1,-1965.0,267265.0,135.0,5M_GC,59.93883792026025,51.37889688203216,22.090233373649514
2023-03-30 01:05:00,2023-03-30 02:20:00,short,1964.21,1963.51,6.0,900.0,268165.0,75.0,5M_GC,45.3399334648932,29.916067146013678,16.66666666561171
2023-03-31 12:25:00,2023-03-31 13:20:00,short,1979.3500000000001,1978.07,11.8,1770.0,269935.0,55.0,5M_GC,76.70221380922482,38.15126050388128,20.833333332723768
2023-03-31 18:50:00,2023-03-31 20:30:00,short,1979.0700000000002,1969.25,97.2,14580.0,284515.0,100.0,5M_GC,53.23767023419867,25.27881140177799,8.852658365182135
2023-04-06 17:45:00,2023-04-06 20:15:00,short,2010.5300000000002,2009.57,8.6,1290.0,285805.0,150.0,5M_GC,25.17260287275688,50.34860557743883,2.655304050026499
2023-04-14 09:15:00,2023-04-14 10:10:00,short,2042.2800000000002,2040.65,15.3,2295.0,288100.0,55.0,5M_GC,78.41971207246853,33.82675555556464,18.298589315878143
2023-04-21 04:05:00,2023-04-21 06:35:00,short,2004.3500000000001,2001.53,27.2,4080.0,292180.0,150.0,5M_GC,68.41370818313722,24.88785992316835,17.376716489721677
2023-04-25 08:25:00,2023-04-25 13:30:00,short,1992.66,1984.68,78.8,11820.0,304000.0,305.0,5M_GC,62.523329600363724,7.71903225043894,7.888034073930892
2023-04-26 16:30:00,2023-04-26 17:15:00,short,2005.75,1999.81,58.4,8760.0,312760.0,45.0,5M_GC,62.85588062698455,56.06334006430753,21.855911711279163
2023-04-27 13:25:00,2023-04-27 14:35:00,short,2000.3600000000001,1999.39,8.7,1305.0,314065.0,70.0,5M_GC,44.88702272964591,48.04469193936591,16.45311675834886
