entry_time,exit_time,side,entry_price,exit_price,pnl_usd,pnl_jpy,balance,duration_min,exit_reason,k4h_at_entry,k1h_at_entry,k5m_at_entry
2023-03-21 08:05:00,2023-03-21 08:45:00,short,1981.68,1972.57,0.881,132.15,100958.5,40.0,5M_GC,33.834943117617925,48.26466916306388,10.170489270456022
2023-03-23 03:25:00,2023-03-23 04:20:00,long,1969.79,1972.41,0.232,34.8,100993.3,55.0,5M_DC,83.22407398396774,81.10880931217986,96.55617419006053
2023-03-28 16:20:00,2023-03-28 18:05:00,long,1961.62,1968.69,0.677,101.55,101094.85,105.0,5M_DC,54.51960854792583,85.58834906828334,89.07525206765253
2023-03-29 16:55:00,2023-03-29 18:25:00,short,1965.25,1966.49,-0.154,-23.1,101071.75,90.0,5M_GC,59.775824735473954,56.77521972358796,20.19433882526206
2023-03-29 19:50:00,2023-03-29 22:05:00,short,1964.45,1965.86,-0.171,-25.65,101046.1,135.0,5M_GC,59.9286715065852,51.19474312976822,22.090233373641826
2023-03-30 01:05:00,2023-03-30 02:20:00,short,1963.9,1963.4,0.02,3.0,101049.1,75.0,5M_GC,45.33414091801189,29.808841098896437,16.666666665611704
2023-03-31 12:25:00,2023-03-31 13:20:00,short,1979.04,1977.96,0.078,11.7,101060.8,55.0,5M_GC,76.70221380922453,38.179271708362045,20.833333332730362
2023-03-31 18:50:00,2023-03-31 20:30:00,short,1978.76,1969.14,0.932,139.8,101200.6,100.0,5M_GC,53.23767023419873,25.278811401777194,8.85265836518249
2023-04-06 17:45:00,2023-04-06 20:15:00,short,2010.22,2009.46,0.046,6.9,101207.5,150.0,5M_GC,25.172602872756745,50.3235440515163,2.655304050029839
2023-04-14 09:15:00,2023-04-14 10:10:00,short,2041.97,2040.54,0.113,16.95,101224.45,55.0,5M_GC,78.41564461600801,33.8267555555648,18.386720636691134
2023-04-21 04:05:00,2023-04-21 06:35:00,short,2004.04,2001.42,0.232,34.8,101259.25,150.0,5M_GC,68.39254438018037,24.887859923168296,17.376716489726025
2023-04-25 08:25:00,2023-04-25 13:30:00,short,1992.3500000000001,1984.58,0.747,112.05,101371.3,305.0,5M_GC,62.52332960036393,7.719032250438915,7.9437106662046135
2023-04-26 16:30:00,2023-04-26 17:15:00,short,2005.45,1999.7,0.545,81.75,101453.05,45.0,5M_GC,62.85588062698424,56.06334006430816,21.821518092961114
2023-04-27 13:25:00,2023-04-27 14:35:00,short,2000.05,1999.28,0.047,7.05,101460.1,70.0,5M_GC,44.887022729645594,47.87732226717205,16.32685413209016
2023-04-27 17:15:00,2023-04-27 19:05:00,short,1982.03,1983.02,-0.129,-19.35,101440.75,110.0,5M_GC,33.589283284548976,31.369829428181777,20.538575079655974
2023-05-04 07:25:00,2023-05-04 08:55:00,short,2042.8400000000001,2042.66,-0.012,-1.8,101438.95,90.0,5M_GC,54.49866788878262,35.98041792235161,21.097706157518004
2023-05-10 12:20:00,2023-05-10 15:00:00,short,2028.8700000000001,2029.28,-0.071,-10.65,101428.3,160.0,5M_GC,66.2287084418504,67.71120924138121,24.057971013793026
2023-05-11 06:20:00,2023-05-11 07:15:00,short,2032.5800000000002,2031.41,0.087,13.05,101441.35,55.0,5M_GC,39.887640449288845,42.1903007975014,18.078783985223456
2023-05-11 08:30:00,2023-05-11 09:50:00,short,2031.3300000000002,2029.18,0.185,27.75,101469.1,80.0,5M_GC,30.362047440585528,24.265774934241026,11.10356664564071
2023-05-12 17:40:00,2023-05-12 20:10:00,long,2013.1299999999999,2014.87,0.144,21.6,101490.7,150.0,5M_DC,29.80275153315978,53.690036900120994,90.39205095970225
2023-05-15 05:30:00,2023-05-15 08:25:00,long,2014.93,2016.7,0.147,22.05,101512.75,175.0,5M_DC,55.76164874528131,66.17816091897775,88.14370776264151
2023-05-15 20:25:00,2023-05-16 01:10:00,long,2017.86,2016.19,-0.197,-29.55,101483.2,285.0,5M_DC,72.06801631212912,36.071850232100935,79.32759942301028
2023-05-19 04:45:00,2023-05-19 05:35:00,long,1956.1599999999999,1958.43,0.197,29.55,101512.75,50.0,5M_DC,20.547444427741052,72.48893524103242,83.63651751940937
2023-05-19 19:25:00,2023-05-19 19:50:00,long,1976.19,1978.18,0.169,25.35,101538.1,25.0,5M_DC,48.57174182028454,52.09589654726572,92.84802043248074
2023-05-29 13:35:00,2023-05-29 15:55:00,long,1944.87,1948.72,0.355,53.25,101591.35,140.0,5M_DC,46.65037749485007,72.33402484726118,90.18989156013345
2023-06-01 01:20:00,2023-06-01 04:45:00,short,1963.7,1963.19,0.021,3.15,101594.5,205.0,5M_GC,58.17313194857983,40.7690817636776,11.125979994387848
2023-06-07 17:00:00,2023-06-07 17:40:00,short,1965.6000000000001,1958.44,0.686,102.9,101697.4,40.0,5M_GC,32.52405037939475,48.627102850324185,7.665590168196743
2023-06-23 09:50:00,2023-06-23 11:00:00,long,1914.31,1918.08,0.347,52.05,101749.45,70.0,5M_DC,22.292881516844698,69.86742302228146,88.84847960304256
2023-06-23 13:15:00,2023-06-23 14:15:00,long,1917.9199999999998,1918.75,0.053,7.95,101757.4,60.0,5M_DC,43.88900491980903,79.97512676197225,80.97332761325764
2023-06-26 08:15:00,2023-06-26 08:50:00,long,1924.6499999999999,1926.53,0.158,23.7,101781.1,35.0,5M_DC,64.80802152091631,70.87154874227947,85.80691380740109
2023-06-26 10:00:00,2023-06-26 10:40:00,long,1923.7,1927.85,0.385,57.75,101838.85,40.0,5M_DC,64.80802152091631,62.33168514189092,87.50084926423533
2023-06-29 03:05:00,2023-06-29 04:15:00,long,1908.59,1912.55,0.366,54.9,101893.75,70.0,5M_DC,19.971854331184783,51.48638973945708,91.20009740709513
2023-06-30 01:35:00,2023-06-30 02:35:00,long,1908.2,1908.4,-0.01,-1.5,101892.25,60.0,5M_DC,74.6691695908127,73.30519052435842,83.71423682983658
2023-06-30 06:05:00,2023-06-30 08:10:00,long,1908.3899999999999,1908.35,-0.034,-5.1,101887.15,125.0,5M_DC,65.34275760050151,41.98983416405269,80.11695906075157
2023-07-05 06:15:00,2023-07-05 09:30:00,short,1924.22,1921.95,0.197,29.55,101916.7,195.0,5M_GC,60.44644640277729,46.79323664829722,5.023343652605465
2023-07-05 16:25:00,2023-07-05 16:55:00,short,1931.92,1924.93,0.669,100.35,102017.05,30.0,5M_GC,55.97038624978575,65.8631376966826,11.975930826839425
2023-07-05 18:25:00,2023-07-05 19:15:00,short,1923.26,1922.67,0.029,4.35,102021.4,50.0,5M_GC,55.97038624978575,21.291666666533192,15.453340457673642
2023-07-07 01:30:00,2023-07-07 02:20:00,long,1910.4099999999999,1911.8,0.109,16.35,102037.75,50.0,5M_DC,24.101458204895952,63.677599975901735,92.2065369017103
2023-07-07 03:50:00,2023-07-07 06:20:00,long,1910.31,1911.47,0.086,12.9,102050.65,150.0,5M_DC,29.334386598513806,52.7889540033482,84.30376750095054
2023-07-07 19:00:00,2023-07-10 01:00:00,long,1928.6,1925.14,-0.376,-56.4,101994.25,3240.0,5M_DC,71.00741110079939,53.168005405250966,83.2475199881342
2023-07-12 11:45:00,2023-07-12 15:30:00,short,1935.7,1945.7,-1.03,-154.5,101839.75,225.0,SL_or_BE,74.13605374123686,28.119032310668718,56.366366075922436
2023-07-17 03:00:00,2023-07-17 04:55:00,short,1952.3400000000001,1952.51,-0.047,-7.05,101832.7,115.0,5M_GC,27.842227377975245,21.8190989286954,10.969361148451071
2023-07-19 15:15:00,2023-07-19 17:25:00,short,1975.7,1973.81,0.159,23.85,101856.55,130.0,5M_GC,76.06025222884506,54.67348988466418,14.228963399436125
2023-07-20 14:45:00,2023-07-20 15:50:00,short,1981.05,1974.17,0.658,98.7,101955.25,65.0,5M_GC,58.22975517857915,26.197169260932327,17.06349206330758
2023-07-20 16:30:00,2023-07-20 16:50:00,short,1976.0900000000001,1975.77,0.002,0.3,101955.55,20.0,5M_GC,34.217176948418114,26.30770203114656,23.524839990302386
2023-07-27 01:55:00,2023-07-27 02:45:00,short,1973.01,1972.1,0.061,9.15,101964.7,50.0,5M_GC,78.31621042306449,59.21265394908244,14.107699153815403
2023-07-27 03:55:00,2023-07-27 06:10:00,short,1971.96,1979.38,-0.772,-115.8,101848.9,135.0,5M_GC,76.43371251381812,84.97622036058506,10.360363817502419
2023-07-27 13:25:00,2023-07-27 15:55:00,short,1975.3600000000001,1960.05,1.501,225.15,102074.05,150.0,5M_GC,50.85670721722707,34.42206338854637,5.286285715209367
2023-07-31 11:50:00,2023-07-31 12:50:00,long,1953.6499999999999,1956.64,0.269,40.35,102114.4,60.0,5M_DC,64.25171316614019,46.60232209851659,91.96938658458436
